box,item,author,title,isbn,publisher
4,Book,Fyodor Dostoevsky,Demons,1857151828,
4,Book,Dante Alighieri,The Divine Comedy,9781857151831,
4,Book,R. C. Zaehner,Hindu Scriptures,1857150643,
4,Book,Yukio Mishima,The Temple of the Golden Pavilion,1857151690,
4,Book,Leslie T. Chang,Factory Girls,9780330447362,
4,Book,,Early Irish Myths and Sagas,9780140443974,
4,Book,,The Tain,9780140455304,
4,Book,Leonard Cohen,Book of Longing,9780141027562,
4,Book,J.T. LeRoy,Sarah,0747549281,
4,Book,J.T. LeRoy,The Heart is Deceitful above all Things,0747554234,
4,Book,John Carey,The Unexpected Professor,9780571310937,
4,Book,Margaret Mitchell,Gone with the Wind,9781447264538,
4,Book,W. H. Prescott,The Conquest of Mexico,0460003976,
4,Book,Niccolo Machiavelli,Florentine Histories,,J. M. Dent & Co
4,Book,William Hazlitt,The Round Table,,"J. M. Dent & Sons, 1964"
4,Book,Victor Hugo,Notre-Dame de Paris,,"J. M. Dent & Sons Ltd, 1964"
4,Book,Henry David Thoreau,Walden,0460002813,
4,Book,Casanova,Memoirs,,"Corgi Books, 1961"
4,Book,Thomas de Quincey,Confessions of an English Opium Eater,,"J. M. Dent & Sons Ltd, 1936"
4,Book,Benjamin Franklin,Autobiography,,"J. M. Dent & Sons Ltd, 1948"
4,Book,Charles Dickens,Christmas Books,,"J. M. Dent & Sons Ltd, 1940"
4,Book,Leo Tolstoi,Anna Karenine,,"Nelson, Editeurs, 1936"
4,Book,Voltaire,Candide et L’ingenu,,"Librairie Alphonse Lemerre, 1921"
4,Book,Blaise Pascal,Pensees et opuscules,,"Librairie Hachette, 13eme edition"
4,Book,Alexis de Tocqueville,Democracy in America,1904919626,
5,Suit (jacket and trousers),,,,
5,Book,A.A. Gill,AA Gill is Away,0753816814,
5,Book,D.H. Lawrence,Mornings in Mexico,0140095217,
5,Book,Aristotle,Eudemian Ethics,9780199586431,
5,Book,Apollodorus,The Library of Greek Mythology,9780199536320,
5,Book,R.L. Stevenson,DrJekyll and Mr Hyde,9781853260612,
5,Book,Benjamin Disraeli,Sybil,0140431349,
5,Book,Homer,The Odyssey,0460871552,
5,Book,Homer,The Iliad,0192834053,
5,Book,Andy Warhol,The Philosophy of Andy Warhol,014118910X,
5,Book,Nigel Hawthorne,Straight Face,0340769432,
5,Book,Daniel Woodrell,Ride with the Devil,1901982475,
5,Book,Patti Smith,Just Kids,9780747568766,
5,Book,Roger Scruton,Conservatism,9781781257524,
5,Book,Noam Chomsky,Hegemony or Survival,0141015055,
5,Book,Jean-Jacques Rousseau,The Social Contract,0192835971,
5,Book,Franz Kafka,The Trial,0099428644,
5,Book,Hunter S. Thompson,Fear and Loathing in Las Vegas,0586081321,
5,Book,Erich Fromm,The Sane Society,0415270987,
5,Book,Wei Hui,Marrying Buddha,1842591700,
5,Book,A.M. Homes,The End of Alice,9781862078901,
5,Book,Haruki Murakami,The Elephant Vanishes,1860468268,
5,Book,Robert Frost,Selected Poems,0140184066,
5,Book,Friedrich Nietzsche,Beyond Good and Evil,014044923X,
5,Book,C.G. Jung,Analytical Psychology,0744800560,
5,Book,Yukio Mishima,Spring Snow,9780099282990,
5,Book,Yukio Mishima,Runaway Horses,9780099282891,
5,Book,Yukio Mishima,The Temple of Dawn,9780099282792,
5,Book,Yukio Mishima,The Decay of the Angel,9780099284574,
5,Book,Yukio Mishima,Thirst for Love,9780099530275,
5,Book,Iris Origo,The Merchant of Prato,014055033X,
5,Book,Gilbert Adair,The Dreamers,0571216269,
5,Book,Rudyard Kipling,The Complete Verse,1856261794,
5,Book,E.H. Gombrich,The Story of Art,9780714847030,
5,Book,Wiliam Shakespeare,The Comedies,,J. M. Dent & Sons
5,Book,Wiliam Shakespeare,The Histories,,J. M. Dent & Sons
5,Book,Wiliam Shakespeare,The Tragedies,,J. M. Dent & Sons
5,Book,Wiliam Shakespeare,The Tragedies and The Poems,,J. M. Dent & Sons
5,Book,Wiliam Shakespeare,Romeo and Juliet,,"MacMillan & Co., 1897"
5,Book,Eileen Chang,"Lust, Caution",9780241259092,
5,Book,Hunter S. Thompson,Hells Angels,0140285555,
5,Book,Robert Graves,The Greek Myths I,0140010262,
5,Book,Robert Graves,The Greek Myths II,0140205098,
5,Book,Paul French,Midnight in Peking,9780241969762,
5,Book,James Joyce,A Portrait of the Artist as a Young Man,0140185534,
5,Book,Milan Kundera,Immortality,0571209181,
5,Book,Thomas Bernhard,Holzfallen,9783518380239,
5,Book,C.G. Jung,Man and his Symbols,9780440351832,
5,Book,Gustave Flaubert,Madame Bovary,207041311X,
5,Book,Justine Levy,Le rendez-vous,2266070622,
5,Book,Sandor Marai,Les Braises,9782253933786,
5,Book,Charles Baudelaire,Les Paradis artificiels,9782253014386,
5,Book,Jean-Jacques Rousseau,Les reveries du promeneur solitaire,,"Garnier-Flammarion, 1964"
5,Book,Machiavel,Le Prince,9782080703170,
5,Book,Jean-Jacques Rousseau,Discours sur l’origine et les fondements de l’inegalite parmi les hommes,9782080702432,
5,Book,Jean-Jacques Rousseau,Les Confessions – Livres I a IV,2266085255,
5,Book,Marguerite Duras,Le ravissement de Lol V. Stein,2070368106,
5,Book,Guy Debord,Commentaires sur la societe du spectacle,9782070401352,
5,Book,Guy Debord,La Societe du Spectacle,9782070394432,
5,Book,Leo Tolstoy,Anna Karenina Vol 1,,Oxford University Press
5,Book,Leo Tolstoy,Anna Karenina Vol 2,,Oxford University Press
6,Paper padding,,,,
6,Book,Saifedean Ammous,The Bitcoin Standard,9781119473862,
6,Book,Imam Mohammad Tawhidi,The Tragedy of Islam,9781925880212,
6,Book,DerGigi,21 Lessons,9781697526349,
6,Book,J.O.P. Bland & Edmund Backhouse,China Under the Empress Dowager,,"Houghton Mifflin Company, 1914"
6,Book,James Mill,The History of British India,0226525554,
6,Book,Ludwig Von Mises,Human Action,1572460210,
6,Book,Oscar Wilde,The Works of Oscar Wilde,,"Collins Clear-Type Press, 1957"
6,Book,C. E. Vulliamy,Byron,,"Michael Joseph Ltd., 1948"
6,Book,Carter & Mears,History of Britain 1688 to Present Day,,"Oxford at the Clarendon Press, 1948"
6,Book,Carter & Mears,A History of Britain 1939-1951,1906768498,
6,Book,Carter & Mears,A History of Britain 1901-1939,190676848X,
6,Book,Carter & Mears,A History of Britain 1837-1901,9781906768478,
6,Book,Carter & Mears,A History of Britain 1603-1714,9781906768232,
6,Book,Carter & Mears,A History of Britain 1485-1603,9781906768225,
6,Book,Carter & Mears,A History of Britain 1066-1485,9781906768362,
6,Book,Carter & Mears,A History of Britain To 1066,9781906768461,
6,Book,Dr Siu Fan Lee,Logic,9781473608436,
6,Book,Alan Graham,Statistics,9781473652002,
6,Book,Hugh Neill,Trigonometry,9781473678491,
6,Book,Hugh Neill,Calculus,9781473678446,
6,Book,Hugh Neill,Algebra,9781473678415,
6,Book,Stefan Zweig,The World of Yesterday,9781906548674,
6,Book,Stefan Zweig,The Collected Novellas,9781782271772,
6,Book,Alain de Botton,Status Anxiety,0141014865,
6,Book,Friedrich Hayek,The Road to Serfdom,9780415253895,
6,Book,A.A. Gill,AA Gill is Away,0753816814,
6,Book,Arundhati Roy,The God of Small Things,0006550681,
6,Book,Emily Bronte,Wuthering Heights,1853260010,
6,Book,Hanif Kureishi,Midnight All Day,0571203914,
6,Book,Haruki Murakami,Norwegian Wood,0099448823,
6,Book,James Boielle,French Poetry,,"Longmans, Green, and Co., 1923"
6,Book,Ernest Feydeau,Souvenirs d’une cocodette,9782842059996,
6,Book,John Stuart Mill,Autobiography,,Oxford University Press
6,Book,Howard Sounes,Down the Highway,0552999296,
6,Book,Bob Dylan,Chronicles,9780743478649,
6,Book,Anna Comnena,The Alexiad,0140442154,
6,Book,Racine,Phedre,1853994596,
6,Book,Michel Foucault,This Is Not a Pipe,0520049160,
6,Book,Nicolas Rey,Un debut prometteur,9782290336854,
6,Book,Charles Baudelaire,Les Fleurs du mal,9782080705273,
6,Book,Imre Kertesz,Etre sans destin,9782742784899,
6,Book,Bret Easton Ellis,Zombies,2264026545,
6,Book,Franz Kafka,Le proces,9782070378401,
6,Book,Michel Houellebecq,Soumission,9782290113615,
6,Book,Michel Houellebecq,Plateforme,2290321230,
6,Book,Michel Houellebecq,Les particules elementaires,2290303054,
6,Book,Jean-Paul Sartre,L’age de raison,207036870X,
6,Book,Voltaire,Candide,9782010028816,
7,Magazine,,Technikart 04/2004,,
7,Magazine,,That’s Beijing 02/2015,,
7,Magazine,,Dazed & Confused 11/2006,,
7,Magazine,,Dazed & Confused 03/2007,,
7,Book,Jimmy Song,Programming Bitcoin,9781492031499,
7,Book,J. W. V. Goethe,The Sorrows of Young Werther,9787553446059,
7,Book,William Shakespeare,Tragedy,9787553439914,
7,Book,Anton Chekov,Best Short Stories,9787553409863,
7,Book,Sigmund Freud,Introduction a psychanalyse,,"Editions Payot, 1972"
7,Book,Jean Genet,Les bonnes,2070370607,
7,Book,Various,Leurs yeux se rencontrerent…,207042670X,
7,Book,Simone de Beauvoir,Les belles images,2070362434,
7,Book,Vincent Ravalec,Cantique de la racaille,2290305537,
7,Book,Immanuel Kant,Critique de la faculte de juger,2711611604,
7,Book,Jean-Paul Sartre,"Huis clos, suivi de Les mouches",9782070368075,
7,Book,Mike Moore,Paine,9780692190470,
7,Book,Roy MacGregor-Hastie,Mao Tse-toung,,Marabout universite
